FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Marriage Wage,MIDS Daycare Wage,MIDS Below LWC, 4xTC Taxes , 4xTC Benefits , 4xTC LW , 4xTC Marriage Wage , 4xTC Daycare Wage ,4xTC Below LWC, 8xTC Taxes , 8xTC Benefits , 8xTC LW , 8xTC Marriage Wage , 8xTC Daycare Wage ,8xTC Below LWC, Marriage Credit Taxes , Marriage Credit Benefits , Marriage Credit LWC , Marriage Credit Marriage Wage , Marriage Credit Daycare Wage ,Marriage Credit Below LWC,Daycare Tax, Daycare Benefits , Daycare LWC , Daycare Marriage Wage , Daycare Daycare Wage ,Daycare Below LWC, UBI_12k Tax , UBI_12k Benefits , UBI_12k LWC , UBI_12k Marriage Wage , UBI_12k Daycare Wage ,UBI_12k Below LWC, UBI_6k+MBI_12k Tax , UBI_6k+MBI_12k Benefits , UBI_6k+MBI_12k LWC , UBI_6k+MBI_12k Marriage Wage , UBI_6k+MBI_12k Daycare Wage ,UBI_6k+MBI_12k Below LWC, MBI_24k Tax , MBI_24k Benefits , MBI_24k LWC , MBI_24k Marriage Wage , MBI_24k Daycare Wage ,MBI_24k Below LWC, Expanded Safety Net Tax , Expanded Safety Net Benefits , Expanded Safety Net LWC , Expanded Safety Net Marriage Wage , Expanded Safety Net Daycare Wage ,Expanded Safety Net Below LWC
30087,7644,6903,8234,8509,5105,4344,5508,46247,8920,8234,9718,8509,3373,-1420,51271.35,0,26477.27,0.48,-12580,-1420,-18162,0,14996,0.13,-40908,-1420,-24986,0,11225,0.17,4355,-21574,-18271,0,15170,0.13,3373,-11422,-20093,0,15412,0.14,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,21109,0.15,8274,-25420,-21270,0,21109,0.15,4031,-1420,-9259,0,29065,0.06
30089,7644,6903,8234,8509,5105,4344,5508,46247,8920,8234,9718,8509,3373,-1420,51271.35,0,26477.27,0.69,-12580,-1420,-18162,0,14996,0.17,-40908,-1420,-24986,0,11225,0.23,4355,-21574,-18271,0,15170,0.17,3373,-11422,-20093,0,15412,0.18,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,21109,0.19,8274,-25420,-21270,0,21109,0.19,4031,-1420,-9259,0,29065,0.08
30091,7644,6903,8234,8509,5105,4344,5508,46247,8920,8234,9718,8509,3373,-1420,51271.35,0,26477.27,0.5,-12580,-1420,-18162,0,14996,0.1,-40908,-1420,-24986,0,11225,0.14,4355,-21574,-18271,0,15170,0.1,3373,-11422,-20093,0,15412,0.11,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,21109,0.12,8274,-25420,-21270,0,21109,0.12,4031,-1420,-9259,0,29065,0.05
30111,8388,6903,8234,8509,5105,4344,5608,47091,8286,8234,9718,8410,3373,-1420,51271.35,0,24418.99,0.47,-12580,-1420,-18162,0,14996,0.09,-40908,-1420,-24986,0,11225,0.13,4355,-21574,-18271,0,15170,0.09,3373,-11422,-20093,0,15412,0.1,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,19254,0.11,8274,-25420,-21270,0,19254,0.11,4031,-1420,-9259,0,29065,0.05
30029,8832,6903,8234,8509,5105,4344,5668,47595,8316,8234,9718,8166,3373,-1420,54417.21,3145.86,27564.85,0.48,-12580,-1420,-18162,0,14996,0.11,-40908,-1420,-24986,0,11225,0.16,4355,-21574,-18271,0,15170,0.11,3373,-11422,-20093,0,15412,0.13,9854,-13420,179,0,23446,0,8353,-25420,-21270,0,19254,0.13,8274,-25420,-21270,0,19254,0.13,4031,-1420,-9259,0,29065,0.06
30049,8388,6903,8234,8509,5105,4344,5608,47091,8512,8234,9718,8460,3373,-1420,54417.21,3145.86,27564.85,0.4,-12580,-1420,-18162,0,14996,0.08,-40908,-1420,-24986,0,11225,0.11,4355,-21574,-18271,0,15170,0.08,3373,-11422,-20093,0,15412,0.09,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,19254,0.1,8274,-25420,-21270,0,19254,0.1,4031,-1420,-9259,0,29065,0.04
30057,8364,6903,8234,8509,5105,4344,5605,47064,8512,8234,9718,8509,3373,-1420,54417.21,3145.86,27564.85,0.5,-12580,-1420,-18162,0,14996,0.08,-40908,-1420,-24986,0,11225,0.1,4355,-21574,-18271,0,15170,0.08,3373,-11422,-20093,0,15412,0.08,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,19254,0.09,8274,-25420,-21270,0,19254,0.09,4031,-1420,-9259,0,29065,0.04
30081,8244,6903,8234,8509,5105,4344,5589,46928,8920,8234,9718,8509,3373,-1420,54417.21,3145.86,27564.85,0.57,-12580,-1420,-18162,0,14996,0.14,-40908,-1420,-24986,0,11225,0.19,4355,-21574,-18271,0,15170,0.14,3373,-11422,-16246,3847,19259,0.13,9854,-13420,179,0,26887,0,8353,-25420,-21270,0,19254,0.17,8274,-25420,-21270,0,19254,0.17,4031,-1420,-9259,0,29065,0.07
30033,7644,6903,8234,8509,5105,4344,5508,46247,9784,8234,9718,8509,3373,-1420,54417.21,0,29623.13,0.47,-12580,-1420,-18162,0,14996,0.11,-40908,-1420,-24986,0,11225,0.16,4355,-21574,-18271,0,15170,0.11,3373,-11422,-16246,3847,19259,0.1,9854,-13420,10424,10245,37132,-0.07,8353,-25420,-21270,0,21109,0.13,8274,-25420,-21270,0,21109,0.13,4031,-1420,-9259,0,29065,0.06
30035,7644,6903,8234,8509,5105,4344,5508,46247,9784,8234,9718,8509,3373,-1420,54417.21,0,29623.13,0.63,-12580,-1420,-18162,0,14996,0.23,-40908,-1420,-24986,0,11225,0.32,4355,-21574,-18271,0,15170,0.24,3373,-11422,-16246,3847,19259,0.21,9854,-13420,10424,10245,37132,-0.13,8353,-25420,-21270,0,21109,0.27,8274,-25420,-21270,0,21109,0.27,4031,-1420,-9259,0,29065,0.12
30067,8988,6903,8234,8509,5105,4344,5690,47773,8920,8234,9718,8509,3373,-1420,54417.21,0,27564.85,0.54,-12580,-1420,-18162,0,14996,0.11,-40908,-1420,-24986,0,11225,0.15,4355,-21574,-18271,0,10697,0.11,3373,-11422,-16246,3847,17185,0.1,9854,-13420,10424,10245,33691,-0.06,8353,-25420,-21270,0,17400,0.13,8274,-25420,-21270,0,17400,0.13,4031,-1420,-9259,0,29065,0.05
30031,8964,6903,8234,8509,5105,4344,5686,47745,9784,8234,9718,8433,3373,-1420,54417.21,0,27564.85,0.42,-12580,-1420,-18162,0,14996,0.09,-40908,-1420,-19502,5484,16709,0.1,4355,-21574,-18271,0,10697,0.09,3373,-11422,-16246,0,17185,0.08,9854,-13420,15228,15049,38495,0.01,8353,-25420,-17561,3709,21109,0.09,8274,-25420,-17561,3709,21109,0.09,4031,-1420,-1891,7368,36433,0.01
30063,10140,6903,8234,8509,5105,4344,5845,49080,8920,8234,9718,8253,3373,-1420,57563.07,3145.86,22652.55,0.59,-12580,-1420,-18162,0,10331,0.11,-40908,-1420,-19502,5484,16709,0.12,4355,-21574,-18271,0,10697,0.11,3373,-11422,-16246,0,15038,0.1,9854,-13420,15228,4804,38495,0.02,8353,-25420,-17561,3709,19254,0.11,8274,-25420,-17561,3709,19254,0.11,4031,-1420,-1891,7368,36433,0.01
37083,7644,5983,6898,9859,6322,4284,7100,48090,5097,6898,12086,8362,3577,-3784,37134.96,-4321.96,14233.59,0.48,-12359,-3784,-30307,-15277,8101,0.42,-41007,-3784,-34054,-11398,7484,0.47,4570,-23938,-30782,-7643,7717,0.43,3577,-13707,-29951,-14703,11285,0.42,10016,-15784,-18890,16081,13502,0.26,8499,-27784,-36545,13506,11127,0.51,8419,-27784,-36545,13506,11127,0.51,4243,-3784,-36178,-9468,10786,0.5
37045,7728,5983,6898,9859,6322,4284,7114,48188,5315,6898,12086,8941,3577,-3784,39190.07,-2266.85,14249.72,0.5,-12359,-3784,-30307,-15277,4550,0.29,-41007,-3784,-34054,-11398,7484,0.33,4570,-23938,-25423,-2285,9717,0.25,3577,-13707,-29951,-14703,9211,0.29,10016,-15784,-16389,18582,12478,0.16,8499,-27784,-34691,15360,11127,0.33,8419,-27784,-34691,15360,11127,0.33,4243,-3784,-33231,-6521,13733,0.32
37193,7644,5983,6898,9859,6322,4284,7100,48090,5857,6898,12086,8587,3577,-3784,39190.07,-2266.85,16288.7,0.58,-12359,-3784,-30307,-15277,8101,0.33,-41007,-3784,-34054,-11398,7484,0.37,4570,-23938,-25423,-2285,9717,0.28,3577,-13707,-29951,-18135,11285,0.32,10016,-15784,-16389,18582,16003,0.18,8499,-27784,-32836,17215,12982,0.36,8419,-27784,-32836,17215,12982,0.36,4243,-3784,-33231,-6521,13733,0.36
37065,8076,5983,6898,9859,6322,4284,7174,48596,5134,6898,12086,8910,3577,-3784,39190.07,-4341.19,14249.72,0.56,-12359,-3784,-30307,-21357,4550,0.32,-41007,-3784,-34054,-22520,7484,0.36,4570,-23938,-25423,-12538,9717,0.27,3577,-13707,-29951,-21283,9211,0.31,10016,-15784,-16389,7539,12478,0.17,8499,-27784,-32836,11651,11127,0.34,8419,-27784,-32836,11651,11127,0.34,4243,-3784,-33231,-13585,11617,0.35
