FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
1073,AL,11712,14676,8887,11553,5471,5178,8921,14654,8600.479794,9232,11263,60639,8757,-14795,10677,8757,66398,69396,45844,71316,69396
1075,AL,8460,14676,8887,11553,5471,5178,8416,14676,9110.137856,9232,11553,58209,8204,-15771,9860,8204,62641,66413,42438,68069,66413
1077,AL,10188,14676,8887,11553,5471,5178,8684,14509,8441.211649,9232,10704,58252,8204,-15771,9860,8204,64637,66456,42481,68112,66456
1079,AL,9900,14676,8887,11553,5471,5178,8639,13289,9046.430598,9232,11070,57716,7651,-16747,9043,7651,64304,65367,40969,66759,65367
1081,AL,11964,14676,8887,11553,5471,5178,8960,14171,9810.917691,9232,11084,61439,8757,-14795,10677,8757,66689,70196,46644,72116,70196
1083,AL,11376,14676,8887,11553,5471,5178,8868,14339,9428.674144,9232,11537,61090,8757,-14795,10677,8757,66009,69847,46295,71767,69847
1085,AL,11712,14676,8887,11553,5471,5178,8921,13922,9269.406,9232,11240,60553,8757,-14795,10677,8757,66398,69310,45758,71230,69310
1087,AL,8460,14676,8887,11553,5471,5178,8416,14676,10320.57575,9232,11553,59420,8204,-15771,9860,8204,62641,67624,43649,69280,67624
1089,AL,11376,14676,8887,11553,5471,5178,8868,13284,8632.333423,9232,11530,59232,8204,-15771,9860,8204,66009,67436,43461,69092,67436
1091,AL,9036,14676,8887,11553,5471,5178,8505,14676,9587.942289,9232,11553,59263,8204,-15771,9860,8204,63306,67467,43492,69123,67467
1093,AL,9852,14676,8887,11553,5471,5178,8632,14676,9046.430598,9232,11553,59537,8204,-15771,9860,8204,64249,67741,43766,69397,67741
1095,AL,9396,14676,8887,11553,5471,5178,8561,15270,8982.72334,9232,10639,58698,8204,-15771,9860,8204,63722,66902,42927,68558,66902
1097,AL,12384,14676,8887,11553,5471,5178,9025,14616,9492.381402,9232,11054,61956,8757,-14795,10677,8757,67174,70713,47161,72633,70713
1099,AL,10008,14676,8887,11553,5471,5178,8656,14676,9364.966886,9232,11553,60012,8757,-14795,10677,8757,64429,68769,45217,70689,68769
1101,AL,11712,14676,8887,11553,5471,5178,8921,15006,8919.016082,9232,11207,61254,8757,-14795,10677,8757,66398,70011,46459,71931,70011
1103,AL,9900,14676,8887,11553,5471,5178,8639,15996,8568.626165,9232,11030,59904,8204,-15771,9860,8204,64304,68108,44133,69764,68108
1105,AL,9912,14676,8887,11553,5471,5178,8641,14676,9333.113258,9232,11553,59884,8204,-15771,9860,8204,64318,68088,44113,69744,68088
