FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
02198,8700,13295,10627,9970,6461,5250,6256,60559,0.46,11851,11503,25074,9970,2486,-18666,56169,0.41,-24046,-23928,24375,0.20,2504,-18592,56261,0.00,2.54,0.41,1.10,-515,-34740,37094,0.25,54,-20286,52117,0.02,47275,4266,-25074,51541,0.54
02290,8520,13295,10627,9970,6461,5250,6235,60358,0.52,11851,12684,25074,9970,2712,-18440,57621,0.54,-24426,-23928,24995,0.10,2730,-18314,57765,0.00,2.74,0.54,1.10,-25,-34431,38893,0.41,491,-19960,53880,0.03,48275,4793,-25074,53068,0.59
02164,8520,13295,10627,9970,6461,5250,6235,60358,0.47,12032,12570,25074,9970,2712,-18440,57687,0.48,-24426,-23928,25061,0.05,2730,-18314,57831,0.00,2.69,0.48,1.10,-25,-34431,38959,0.30,491,-19960,53946,0.02,48341,4793,-25074,53134,0.57
02282,8580,13295,10627,9970,6461,5250,6242,60425,0.31,11851,12760,25074,9970,2712,-18440,57758,0.32,-24426,-23928,25132,-0.01,2730,-18314,57902,0.00,2.74,0.32,1.10,-25,-34431,39030,0.18,491,-19960,54017,0.01,48412,4793,-25074,53205,0.33
02195,9936,13295,10627,9970,6461,5250,6398,61937,0.34,11851,11503,25074,9970,2712,-18440,57857,0.37,-24426,-23928,25231,0.03,2730,-18314,58001,0.00,2.74,0.37,1.10,-25,-34431,39129,0.23,491,-19960,54116,0.01,48511,4793,-25074,53304,0.42
02275,9648,13295,10627,9970,6461,5250,6365,61616,0.42,11851,12303,25074,9970,2712,-18440,58368,0.46,-24426,-23928,25742,0.09,2730,-18314,58512,0.00,3.65,0.46,1.10,-25,-34431,39640,0.28,491,-19960,54627,0.02,49022,4793,-25074,53815,0.56
02261,10296,13295,10627,9970,6461,5250,6440,62339,0.30,11851,12532,25074,9970,3080,-18072,59981,0.31,-25043,-23928,26002,0.05,3098,-17862,60209,0.00,3.26,0.30,1.10,771,-33930,41814,0.26,1201,-19432,56742,0.02,49899,5647,-25074,55546,0.46
02068,7644,13295,10627,9970,6461,5250,6134,59381,0.26,14599,12494,25074,9970,3080,-18072,60039,0.25,-25043,-23928,26060,0.08,3098,-17862,60267,0.00,2.92,0.25,1.10,771,-33930,41872,0.19,1201,-19432,56800,0.02,49957,5647,-25074,55604,0.48
02130,11580,13295,10627,9970,6461,5250,6588,63771,0.38,12032,11084,25074,10473,3080,-18072,60501,0.31,-25043,-23928,26522,0.10,3098,-17862,60729,0.00,3.19,0.31,1.10,771,-33930,42334,0.20,1201,-19432,57262,0.02,50419,5647,-25074,56066,0.59
02240,11112,13295,10627,9970,6461,5250,6534,63249,0.39,11851,12532,25074,9970,3080,-18072,60797,0.33,-25043,-23928,26818,0.11,3098,-17862,61025,0.00,3.26,0.33,1.10,771,-33930,42630,0.24,1201,-19432,57558,0.02,50715,5647,-25074,56362,0.56
