FIPS,State,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Net,MIDS Taxes All,3x EITC Tax,Basic Income Tax,Mids Taxes Universal,MIT LWC,MIDS LWC,3x EITC,Basic Income,MIDS LWC 2
29197,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,4888.3295,7044,7358,28281,-4072,-2310,-20973,-801,31219,24209,25971,7308,27480
29199,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,5233.149423,7044,8320,29588,-3895,-2133,-20664,-624,31219,25693,27455,8924,28964
29201,MO,5460,#N/A,5659,8320,4531,3699,3741,#N/A,5983.639844,7044,7963,30149,-4072,-2310,-20973,-801,31410,26077,27839,9176,29348
29203,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,5010.030649,7044,8320,29365,-3895,-2133,-20664,-624,31219,25470,27232,8701,28741
29205,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,4827.478925,7044,8320,29182,-3895,-2133,-20664,-624,31219,25287,27049,8518,28558
29207,MO,5352,#N/A,5659,8320,4531,3699,3726,#N/A,5760.52107,7044,8320,30176,-3895,-2133,-20664,-624,31287,26281,28043,9512,29552
29209,MO,5904,#N/A,5659,8320,4531,3699,3801,#N/A,5740.237546,7044,7442,29829,-4072,-2310,-20973,-801,31914,25757,27519,8856,29028
29211,MO,5568,#N/A,5659,8320,4531,3699,3755,#N/A,5212.865898,7044,8320,29844,-3895,-2133,-20664,-624,31532,25949,27711,9180,29220
29213,MO,6384,#N/A,5659,8320,4531,3699,3866,#N/A,5963.356319,7044,7410,30500,-3895,-2133,-20664,-624,32459,26605,28367,9836,29876
29215,MO,5292,#N/A,5659,8320,4531,3699,3718,#N/A,5598.252871,7044,8320,29953,-3895,-2133,-20664,-624,31219,26058,27820,9289,29329
29217,MO,5544,#N/A,5659,8320,4531,3699,3752,#N/A,5598.252871,7044,8320,30205,-3895,-2133,-20664,-624,31505,26310,28072,9541,29581
29219,MO,7572,#N/A,5659,8320,4531,3699,4026,#N/A,4847.76245,7044,8276,31439,57,1819,-16448,3328,33807,31496,33258,14991,34767
29221,MO,6036,#N/A,5659,8320,4531,3699,3819,#N/A,5719.954021,7044,8320,30819,-3895,-2133,-20664,-624,32064,26924,28686,10155,30195
29223,MO,6036,#N/A,5659,8320,4531,3699,3819,#N/A,5152.015324,7044,8320,30251,-3895,-2133,-20664,-624,32064,26356,28118,9587,29627
29225,MO,5796,#N/A,5659,8320,4531,3699,3786,#N/A,5537.402297,7044,7919,29995,-3895,-2133,-20664,-624,31791,26100,27862,9331,29371
