fips,year,state,food_cost,insurance_cost,healthcare_cost,housing_cost,transportation_cost,other_cost,state_tax_rate,pop,fica_tax_rate,federal_income_tax_rate,total_cost
108799999,2014,AL,3035.971767,1368,2528.386391,5016,3965.869168,2195.290565,0.04,21452,0.0765,0.0534,21186.32498
108999999,2014,AL,3035.971767,1368,2528.386391,6708,3965.869168,2195.290565,0.04,334811,0.0765,0.0534,23165.79578
109199999,2014,AL,3035.971767,1368,2528.386391,5412,3965.869168,2195.290565,0.04,21027,0.0765,0.0534,21649.60538
109399999,2014,AL,3035.971767,1368,2528.386391,5568,3965.869168,2195.290565,0.04,30776,0.0765,0.0534,21832.10978
109599999,2014,AL,3035.971767,1368,2528.386391,5124,3965.869168,2195.290565,0.04,93019,0.0765,0.0534,21312.67418
109799999,2014,AL,3035.971767,1368,2528.386391,7788,3965.869168,2195.290565,0.04,412992,0.0765,0.0534,24429.28778
109999999,2014,AL,3035.971767,1368,2528.386391,5724,3965.869168,2195.290565,0.04,23068,0.0765,0.0534,22014.61418
110199999,2014,AL,3035.971767,1368,2528.386391,7164,3965.869168,2195.290565,0.04,229363,0.0765,0.0534,23699.27018
110399999,2014,AL,3035.971767,1368,2528.386391,6024,3965.869168,2195.290565,0.04,119490,0.0765,0.0534,22365.58418
110599999,2014,AL,3035.971767,1368,2528.386391,5232,3965.869168,2195.290565,0.04,10591,0.0765,0.0534,21439.02338
110799999,2014,AL,3035.971767,1368,2528.386391,5016,3965.869168,2195.290565,0.04,19746,0.0765,0.0534,21186.32498
110999999,2014,AL,3035.971767,1368,2528.386391,5724,3965.869168,2195.290565,0.04,32899,0.0765,0.0534,22014.61418
111199999,2014,AL,3035.971767,1368,2528.386391,5808,3965.869168,2195.290565,0.04,22913,0.0765,0.0534,22112.88578
111399999,2014,AL,3035.971767,1368,2528.386391,7140,3965.869168,2195.290565,0.04,52947,0.0765,0.0534,23671.19258
111599999,2014,AL,3035.971767,1368,2528.386391,7524,3965.869168,2195.290565,0.04,83593,0.0765,0.0534,24120.43418
