FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
04001,7644,12784,8002,8509,6413,4344,6868,54564,0.60,11396,8289,5465,8509,7079,-702,52024,0.62,-18786,-4680,22181,0.24,6758,-757,51648,0.00,1.24,0.61,0.78,2929,-15200,33376,0.37,7027,-707,51967,0.62,40182,11618,-5465,51800,0.63
04027,9744,12784,8002,8509,6413,4344,7171,56967,0.57,11317,7113,5465,7966,7079,-702,52327,0.51,-18786,-4680,22484,0.19,6758,-757,51951,0.00,1.26,0.51,0.78,2929,-15200,33679,0.35,7027,-707,52270,0.51,40485,11618,-5465,52103,0.54
04015,8988,12784,8002,8509,6413,4344,7062,56102,0.62,12191,8232,5465,7352,7364,-601,53335,0.56,-19060,-4680,22832,0.22,7043,-629,52986,0.00,1.52,0.56,0.78,3499,-14857,35214,0.35,7313,-579,53306,0.57,41107,12001,-5465,53108,0.59
04009,7752,12784,8002,8509,6413,4344,6884,54688,0.42,12759,8174,5465,8218,7364,-601,53476,0.45,-19060,-4680,22973,0.21,7043,-629,53127,0.00,1.40,0.45,0.78,3499,-14857,35355,0.31,7313,-579,53447,0.46,41248,12001,-5465,53249,0.50
04011,7644,12784,8002,8509,6413,4344,6868,54564,0.42,12759,8002,5465,8509,7364,-601,53487,0.44,-19060,-4680,22984,0.15,7043,-629,53138,0.00,1.40,0.44,0.78,3499,-14857,35366,0.27,7313,-579,53458,0.44,41259,12001,-5465,53260,0.42
04012,7956,12784,8002,8509,6413,4344,6913,54921,0.65,12759,8318,5465,8509,7364,-601,54114,0.65,-19060,-4680,23611,0.24,7043,-629,53765,0.00,1.40,0.58,0.78,3499,-14857,35993,0.47,7313,-579,54085,0.65,41886,12001,-5465,53887,0.57
04003,9936,12784,8002,8509,6413,4344,7198,57186,0.51,12089,7945,5465,7947,7663,-494,54895,0.53,-19348,-4680,23698,0.10,7344,-494,54576,0.00,1.13,0.53,0.78,4108,-14494,37340,0.39,7613,-445,54894,0.53,42261,12404,-5465,54665,0.45
04017,7932,12784,8002,8509,6413,4344,6910,54894,0.62,14839,8146,5465,7695,7663,-494,55589,0.62,-19348,-4680,24392,0.25,7344,-494,55270,0.00,1.38,0.62,0.78,4108,-14494,38034,0.46,7613,-445,55588,0.55,42955,12404,-5465,55359,0.55
04019,10224,12784,8002,8509,6413,4344,7240,57516,0.51,13055,8146,5465,8085,8078,-347,57050,0.50,-19746,-4680,24893,0.18,7758,-309,56768,0.00,1.71,0.45,0.78,5016,-13980,40355,0.42,8027,-259,57087,0.51,43854,12959,-5465,56813,0.60
04025,9408,12784,8002,8509,6413,4344,7122,56582,0.55,14315,8375,5465,7685,8078,-347,57323,0.53,-19746,-4680,25166,0.17,7758,-309,57041,0.00,1.45,0.53,0.78,5016,-13980,40628,0.43,8027,-259,57360,0.54,44127,12959,-5465,57086,0.64
04023,7980,12784,8002,8509,6413,4344,6917,54949,0.59,17132,6998,5465,8017,8078,-347,57667,0.56,-19746,-4680,25510,0.25,7758,-309,57385,0.00,1.33,0.56,0.78,5016,-13980,40972,0.50,8027,-259,57704,0.57,44471,12959,-5465,57430,0.69
04005,12252,12784,8002,8509,6413,4344,7532,59836,0.47,11112,8461,5465,8608,8078,-347,57973,0.49,-19746,-4680,25816,0.20,7758,-309,57691,0.00,1.30,0.49,0.78,5016,-13980,41278,0.41,8027,-259,58010,0.49,44777,12959,-5465,57736,0.58
04021,11484,12784,8002,8509,6413,4344,7421,58957,0.46,13111,7859,5465,8530,8461,-211,59042,0.47,-20115,-4680,25997,0.15,8141,-137,58796,0.00,1.68,0.47,0.78,5860,-13687,42965,0.34,8411,-87,59116,0.43,45327,13474,-5465,58801,0.60
04013,11484,12784,8002,8509,6413,4344,7421,58957,0.43,16701,8174,5465,8533,9478,0,64179,0.40,-21091,-4118,29492,0.21,9157,0,63858,0.00,1.62,0.40,0.78,8108,-13118,49691,0.38,9427,0,64128,0.40,49236,14838,-5465,64074,0.48
06049,7644,9869,8002,8509,6151,4344,6019,50538,0.56,8425,8318,6329,8509,6905,-1435,49039,0.57,-21733,-5544,16292,0.16,6484,-1528,48525,0.00,1.82,0.52,1.09,-9099,-17544,16926,0.05,6914,-1411,49072,0.49,37240,11261,-6329,48501,0.62
06107,8988,9869,8002,8509,6151,4344,6201,52064,0.50,8379,7801,6329,8702,6905,-1435,50014,0.43,-21733,-5544,17267,0.01,6484,-1528,49500,0.00,1.88,0.43,1.09,-9099,-17544,17901,0.12,6914,-1411,50047,0.50,38215,11261,-6329,49476,0.52
06101,9480,9869,8002,8509,6151,4344,6267,52622,0.42,8907,7256,6329,8401,7256,-1279,50695,0.34,-22047,-5544,17127,-0.01,6836,-1324,50230,0.00,1.71,0.34,1.09,-8870,-17544,18304,0.09,7266,-1207,50777,0.42,38389,11716,-6329,50105,0.43
06025,9708,9869,8002,8509,6151,4344,6298,52881,0.51,8660,7256,6329,8485,7256,-1279,50759,0.45,-22047,-5544,17191,0.00,6836,-1324,50294,0.00,1.79,0.44,1.09,-8870,-17544,18368,0.16,7266,-1207,50841,0.51,38453,11716,-6329,50169,0.52
06115,9480,9869,8002,8509,6151,4344,6267,52622,0.46,8805,7572,6329,8404,7256,-1279,50911,0.40,-22047,-5544,17343,0.01,6836,-1324,50446,0.00,1.74,0.40,1.09,-8870,-17544,18520,0.11,7266,-1207,50993,0.47,38605,11716,-6329,50321,0.50
06047,9540,9869,8002,8509,6151,4344,6275,52690,0.49,8425,8117,6329,8626,7256,-1279,51358,0.49,-22047,-5544,17790,0.01,6836,-1324,50893,0.00,1.86,0.43,1.09,-8870,-17544,18967,0.13,7266,-1207,51440,0.50,39052,11716,-6329,50768,0.51
