FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
02290,8520,7977,5319,7382,6609,3971,4583,44361,0.50,7111,6349,12537,7382,6775,-6412,46232,0.60,-11160,-11747,22962,0.35,6788,-6359,46298,0.00,2.67,0.60,0.68,722,-23788,22803,0.24,2177,-8741,39305,0.32,33332,5002,-12537,38334,0.62
02164,8520,7977,5319,7382,6609,3971,4583,44361,0.46,7219,6291,12537,7382,6775,-6412,46283,0.50,-11160,-11747,23013,0.26,6788,-6359,46349,0.00,2.62,0.50,0.68,722,-23788,22854,0.17,2177,-8741,39356,0.22,33383,5002,-12537,38385,0.59
02282,8580,7977,5319,7382,6609,3971,4589,44427,0.29,7111,6387,12537,7382,6775,-6412,46330,0.36,-11160,-11747,23060,0.15,6788,-6359,46396,0.00,2.67,0.36,0.68,1815,-23135,24647,0.14,2177,-8741,39403,0.13,33430,5002,-12537,38432,0.37
02198,8700,7977,5319,7382,6609,3971,4603,44561,0.44,7111,5758,12537,7382,6775,-6412,45821,0.52,-11160,-11747,22551,0.27,6788,-6359,45887,0.00,1.93,0.52,0.68,722,-23788,22392,0.16,2177,-8741,38894,0.16,32921,5002,-12537,37923,0.57
02068,7644,7977,5319,7382,6609,3971,4482,43384,0.25,8759,6253,12537,7382,6775,-6412,46910,0.30,-11260,-11747,23540,0.09,6788,-6359,46976,0.00,2.57,0.30,0.68,2667,-22765,26449,0.08,2631,-8389,40789,0.16,34010,5553,-12537,39563,0.24
02195,9936,7977,5319,7382,6609,3971,4746,45940,0.40,7111,5758,12537,7382,6775,-6412,47057,0.41,-11260,-11352,24082,0.15,6788,-6359,47123,0.00,2.67,0.41,0.68,2667,-22765,26596,0.17,2631,-8389,40936,0.22,34157,5553,-12537,39710,0.42
02275,9648,7977,5319,7382,6609,3971,4712,45618,0.52,7111,6158,12537,7382,6775,-6412,47170,0.52,-11260,-11352,24195,0.10,6788,-6359,47236,0.00,2.67,0.52,0.68,2667,-22765,26709,0.22,2631,-8389,41049,0.34,34270,5553,-12537,39823,0.55
02270,8712,7977,5319,7382,6609,3971,4605,44575,0.51,7111,7588,12537,7382,7493,-5393,49401,0.58,-11260,-11352,24689,0.17,7511,-5313,49499,0.00,2.09,0.58,0.68,3620,-22339,28582,0.33,2631,-8389,41543,0.27,34764,5553,-12537,40317,0.62
02261,10296,7977,5319,7382,6609,3971,4787,46341,0.32,7111,6272,12537,7382,7493,-5393,49669,0.31,-11355,-11352,24862,0.19,7511,-5313,49767,0.00,2.09,0.31,0.68,3620,-22339,28850,0.23,3057,-8057,42569,0.25,35032,6071,-12537,41103,0.36
02013,8556,7977,5319,7382,6609,3971,4587,44401,0.35,8302,7588,12537,7382,8118,-4323,52131,0.32,-11355,-11019,25962,0.17,8136,-4246,52226,0.00,1.77,0.32,0.68,4679,-21837,31178,0.22,6149,-6463,48022,0.28,35799,9984,-12537,45783,0.40
