fips,10000,15000,20000,25000,30000,35000,40000,45000,50000,60000,75000,100000,125000,150000,200000,200000+
01131,973,380,312,333,296,169,142,197,100,214,186,201,182,58,88,12
01133,1155,872,864,745,640,587,598,503,348,840,866,628,467,171,118,124
02013,16,22,34,39,31,35,17,22,16,57,81,77,45,33,39,13
02016,46,24,34,38,30,39,41,57,36,66,83,210,127,83,123,68
02020,2820,2969,3169,3572,3130,3903,3551,4897,3617,7204,11690,15236,12546,8511,9889,8460
02050,262,248,266,245,264,244,209,170,233,329,499,489,333,180,337,133
02060,15,12,6,10,8,9,6,14,10,32,54,69,57,36,39,21
02068,35,31,10,11,36,17,8,48,19,16,120,96,90,76,76,33
02070,88,58,103,60,67,65,57,51,48,142,160,139,114,59,96,46
02090,1332,1115,1147,1597,1276,1368,1790,1804,1104,2612,4093,5478,3811,2678,3157,1482
02100,51,65,85,18,41,71,59,52,63,115,126,132,84,59,79,44
02105,61,49,55,54,53,80,22,42,34,88,65,114,74,27,55,36
02110,403,232,196,362,349,443,185,439,358,951,1328,2192,1475,1285,992,891
02122,961,1099,942,1009,971,961,905,862,680,1738,2500,3110,2174,1495,1363,789
02130,234,214,150,238,253,200,302,187,258,572,512,706,619,273,368,219
02150,121,217,160,220,199,194,123,167,214,340,507,684,625,310,271,208
02164,34,31,40,28,30,35,35,16,15,58,42,65,27,30,13,11
02170,1358,1334,1183,1266,1015,1051,1152,1097,993,2344,3474,4768,3703,2425,2400,1541
02180,227,132,137,196,170,191,129,158,156,207,235,323,162,126,234,56
02185,74,57,63,46,64,66,77,165,50,131,198,244,304,166,152,120
02188,116,79,69,72,71,90,89,88,50,148,203,256,183,133,178,61
02195,51,85,97,35,61,47,55,81,54,99,110,138,168,70,154,62
02198,153,153,195,160,132,108,144,108,116,176,183,300,209,100,95,45
02220,152,126,128,122,119,106,134,208,187,186,403,643,363,274,179,183
02230,6,17,8,16,11,9,14,7,16,46,58,56,52,28,14,29
02240,88,110,79,133,96,63,88,98,84,202,166,371,183,164,151,80
02261,221,105,214,115,106,85,109,68,59,218,192,539,387,357,256,194
02270,150,92,129,115,95,123,121,126,97,137,172,170,82,47,18,16
02275,57,89,56,96,55,42,39,105,72,111,101,144,53,41,82,20
02282,7,1,10,22,10,7,18,12,10,20,36,49,35,6,16,6
02290,226,164,201,148,133,112,78,76,119,129,209,184,138,57,67,16
04001,3649,1699,1367,1169,1157,1205,947,999,772,1551,1582,1502,740,332,301,74
