FIPS,Housing,ChildCare,Food,Transportation,Medical,Other,Taxes,MIT LWC,MIT Below LWC,MIDS ChildCare,MIDS Food,MIDS Medical,MIDS Transportation,MIDS Taxes,MIDS Benefits,MIDS LW,MIDS Below LWC,4xTC Taxes,4xTC Benefits,4xTC LW,4xTC Below LWC,Daycare Tax,Daycare Benefits,Daycare LWC,Daycare Marriage Wage,Daycare Daycare Wage,Daycare Below LWC,Daycare Welfare Gap,UBI_12k Tax,UBI_12k Benefits,UBI_12k LWC,UBI_12k Below LWC,Expanded Safety Net Tax,Expanded Safety Net Benefits,Expanded Safety Net LWC,Expanded Safety Net Below LWC,Medical Net,Medical Tax,Medical Benefits,Medical LWC,Medical Below LWC
49015,5676,0,3607,4054,2097,2284,2927,20645,0.19,0,3607,2965,4054,3037,-1806,19817,0.17,1684,-2287,17983,0.13,3044,-1802,19828,0.00,0.00,0.22,0.61,319,-14604,4301,0.03,3130,-1745,19971,0.17,15621,5548,-2965,19971,0.29
49027,5676,0,3607,4054,2097,2284,2927,20645,0.23,0,3607,2965,4054,3037,-1806,19817,0.20,1684,-2287,17983,0.17,3044,-1802,19828,0.00,0.00,0.26,0.61,319,-14604,4301,0.05,3130,-1745,19971,0.20,15621,5548,-2965,19971,0.36
49037,5676,0,3607,4054,2097,2284,2927,20645,0.37,0,3607,2965,4054,3037,-1806,19817,0.35,1684,-2287,17983,0.33,3044,-1802,19828,0.00,0.00,0.40,0.61,319,-14604,4301,0.11,3130,-1745,19971,0.36,15621,5548,-2965,19971,0.43
49041,5676,0,3607,4054,2097,2284,2927,20645,0.29,0,3607,2965,4054,3037,-1806,19817,0.27,1684,-2287,17983,0.26,3044,-1802,19828,0.00,0.00,0.31,0.61,319,-14604,4301,0.05,3130,-1745,19971,0.28,15621,5548,-2965,19971,0.37
49055,5676,0,3607,4054,2097,2284,2927,20645,0.36,0,3607,2965,4054,3037,-1806,19817,0.35,1684,-2287,17983,0.19,3044,-1802,19828,0.00,0.00,0.37,0.61,319,-14604,4301,0.09,3130,-1745,19971,0.35,15621,5548,-2965,19971,0.42
49043,7380,0,3607,4054,2097,2284,3208,22630,0.15,0,3607,2965,4488,3037,-1806,21955,0.15,1684,-2287,20121,0.10,3044,-1802,21966,0.00,0.00,0.15,0.61,319,-14604,6439,0.03,3130,-1745,22109,0.19,17759,5548,-2965,22109,0.21
49035,7068,0,3607,4054,2097,2284,3157,22267,0.26,0,3607,2965,4536,3037,-1806,21691,0.25,1684,-2287,19857,0.19,3044,-1802,21702,0.00,0.00,0.25,0.61,319,-14604,6175,0.05,3130,-1745,21845,0.30,17495,5548,-2965,21845,0.34
49025,7200,0,3607,4054,2097,2284,3179,22421,0.34,0,3607,2965,4054,3037,-1806,21341,0.33,1684,-2287,19507,0.23,3044,-1802,21352,0.00,0.00,0.33,0.61,319,-14604,5825,0.04,3130,-1745,21495,0.33,17145,5548,-2965,21495,0.41
49033,7176,0,3607,4054,2097,2284,3175,22393,0.37,0,3607,2965,4054,3037,-1806,21317,0.35,1684,-2287,19483,0.20,3044,-1802,21328,0.00,0.00,0.35,0.61,319,-14604,5801,0.03,3130,-1745,21471,0.35,17121,5548,-2965,21471,0.42
49031,7092,0,3607,4054,2097,2284,3161,22295,0.52,0,3607,2965,4054,3037,-1806,21233,0.50,1684,-2287,19399,0.46,3044,-1802,21244,0.00,0.00,0.50,0.61,319,-14604,5717,0.09,3130,-1745,21387,0.50,17037,5548,-2965,21387,0.59
49009,7032,0,3607,4054,2097,2284,3151,22225,0.39,0,3607,2965,4054,3037,-1806,21173,0.37,1684,-2287,19339,0.14,3044,-1802,21184,0.00,0.00,0.36,0.61,319,-14604,5657,0.07,3130,-1745,21327,0.37,16977,5548,-2965,21327,0.45
49045,6540,0,3607,4054,2097,2284,3070,21652,0.14,0,3607,2965,4472,3037,-1806,21099,0.20,1684,-2287,19265,0.13,3044,-1802,21110,0.00,0.00,0.20,0.61,319,-14604,5583,0.04,3130,-1745,21253,0.20,16903,5548,-2965,21253,0.28
49047,8004,0,3607,4054,2097,2284,3312,23358,0.24,0,3607,2965,4404,3037,-1806,22495,0.31,1684,-2287,20661,0.23,3044,-1802,22506,0.00,0.00,0.30,0.61,319,-14604,6979,0.06,3130,-1745,22649,0.31,18299,5548,-2965,22649,0.37
49051,7668,0,3607,4054,2097,2284,3256,22966,0.21,0,3607,2965,4515,3037,-1806,22270,0.23,1684,-2287,20436,0.20,3044,-1802,22281,0.00,0.00,0.23,0.61,319,-14604,6754,0.04,3130,-1745,22424,0.24,18074,5548,-2965,22424,0.27
51690,5172,0,3022,4697,2256,2253,2526,19926,0.50,0,3022,3298,3981,1219,-3022,15923,0.30,571,-2940,15357,0.46,1216,-2940,16002,0.00,0.00,0.29,0.88,187,-14940,2973,0.11,-65,-2940,14721,0.12,14428,3236,-3298,14721,0.59
51143,4740,0,3022,4697,2256,2253,2464,19432,0.34,0,3022,3298,4129,1219,-3022,15639,0.17,571,-2940,15073,0.27,1216,-2940,15718,0.00,0.00,0.17,0.88,187,-14940,2689,0.03,-65,-2940,14437,0.06,14144,3236,-3298,14437,0.40
51590,4740,0,3022,4697,2256,2253,2464,19432,0.46,0,3022,3298,4071,1219,-3022,15581,0.27,571,-2940,15015,0.38,1216,-2940,15660,0.00,0.00,0.27,0.88,187,-14940,2631,0.05,-65,-2940,14379,0.10,14086,3236,-3298,14379,0.52
51025,5436,0,3022,4697,2256,2253,2565,20229,0.40,0,3022,3298,4697,1219,-3022,16903,0.32,571,-2940,16337,0.22,1216,-2940,16982,0.00,0.00,0.32,0.88,187,-14940,3953,0.07,-65,-2940,15701,0.37,15408,3236,-3298,15701,0.40
51111,5436,0,3022,4697,2256,2253,2565,20229,0.33,0,3022,3298,4697,1219,-3022,16903,0.28,571,-2940,16337,0.21,1216,-2940,16982,0.00,0.00,0.28,0.88,187,-14940,3953,0.06,-65,-2940,15701,0.28,15408,3236,-3298,15701,0.41
51071,5652,0,3022,4697,2256,2253,2596,20476,0.31,0,3022,3298,4474,1219,-3022,16896,0.26,571,-2940,16330,0.13,1216,-2940,16975,0.00,0.00,0.25,0.88,187,-14940,3946,0.04,-65,-2940,15694,0.29,15401,3236,-3298,15694,0.34
51015,5532,0,3022,4697,2256,2253,2579,20339,0.23,0,3022,3298,4523,1219,-3022,16825,0.17,571,-2940,16259,0.12,1216,-2940,16904,0.00,0.00,0.17,0.88,187,-14940,3875,0.04,-65,-2940,15623,0.20,15330,3236,-3298,15623,0.25
51195,5976,0,3022,4697,2256,2253,2643,20847,0.37,0,3022,3298,4059,1219,-3022,16805,0.34,571,-2940,16239,0.23,1216,-2940,16884,0.00,0.00,0.34,0.88,187,-14940,3855,0.09,-65,-2940,15603,0.41,15310,3236,-3298,15603,0.43
51185,5976,0,3022,4697,2256,2253,2643,20847,0.39,0,3022,3298,4055,1219,-3022,16801,0.33,571,-2940,16235,0.22,1216,-2940,16880,0.00,0.00,0.33,0.88,187,-14940,3851,0.07,-65,-2940,15599,0.43,15306,3236,-3298,15599,0.42
51790,5532,0,3022,4697,2256,2253,2579,20339,0.35,0,3022,3298,4497,1219,-3022,16799,0.29,571,-2940,16233,0.22,1216,-2940,16878,0.00,0.00,0.28,0.88,187,-14940,3849,0.06,-65,-2940,15597,0.38,15304,3236,-3298,15597,0.36
